2025-09-13 08:57:22 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-13 08:58:28 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-13 09:01:14 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-13 09:02:26 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-13 09:03:22 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-13 09:05:55 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-13 09:06:29 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-14 14:53:02 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 10:19:05 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 10:30:45 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 10:31:46 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 10:38:29 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 10:38:47 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 11:23:44 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 11:26:55 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 11:40:38 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 11:41:09 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:41:39 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:42:09 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:42:39 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:43:09 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:43:39 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:44:09 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:44:39 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-15 11:44:59 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 11:55:03 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-15 12:10:53 | INFO | USER:responsable | ROLE:RESPONSABLE | ACTION:ACTION_ADMIN | FUNCTION:dashboard | IP:127.0.0.1 | DETAILS:Accès admin/responsable
2025-09-16 21:48:24 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-16 21:48:27 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-16 21:50:05 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-16 21:50:07 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-16 22:04:14 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-16 22:27:22 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-16 22:35:09 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-17 14:26:25 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
2025-09-17 14:50:44 | INFO | USER:sam002 | ROLE:ADMIN | ACTION:CONSULTATION | FUNCTION:get_stats | IP:127.0.0.1 | DETAILS:Accès lecture seule
